	H3K4me3	H3K4me1	H3K27ac	H3K27me3	H3K9me3	H3K36me1	H3K36me3	H3K79me1	H3K79me2	H3K79me3
14700	-0.06238	0.1746	0.1987	-0.4967	-0.248	2.282	-0.2064	1.797	0.1216	0.1477
14900	-0.0966	-0.04983	-0.4375	-0.782	0.1425	1.395	-0.1831	1.471	0.3537	0.287
15100	1.019	0.526	-0.3181	-0.1169	1.042	2.246	0.1737	3.068	0.5427	0.7612
15300	-0.2454	0.3136	0.02301	-0.7008	0.7516	2.298	-0.4439	1.972	0.2961	0.2173
15500	-0.1775	1.654	0.1523	-0.8493	1.33	2.795	-0.3318	2.272	0.5691	0.1754
15700	0.1615	1.683	-0.2157	0.3542	1.011	1.764	-0.1593	2.593	0.9946	0.4752
15900	0.4199	1.248	-0.01111	-0.6596	0.256	3.431	-0.4088	2.929	1.161	0.6104
16100	-0.1551	1.546	0.4101	-1.026	-0.2155	4.68	-0.2519	2.488	1.2	0.68
16300	0.1424	1.861	0.7951	-1.006	-0.279	4.524	-0.3903	1.15	0.7504	0.5641
16500	1.203	3.199	1.279	-1.379	0.1735	5.793	-0.411	3.113	1.434	0.8566
16700	1.619	1.855	2.422	-1.299	-0.3025	4.377	-0.4439	2.516	0.659	-0.04426
16900	3.326	0.04585	2.278	-0.9454	-0.4211	2.407	-0.5907	1.597	0.1652	-0.4013
17100	-0.3282	1.389	0.07595	-1.348	-0.586	1.521	-0.5751	1.021	-0.03347	-0.7086
17300	-0.05402	3.021	0.8052	-1.395	-0.2209	4.932	-0.4312	3.898	-0.1502	-0.4679
17500	-0.3976	1.501	0.5224	-0.9513	0.0764	4.124	-0.1274	2.845	0.2085	-0.1662
17700	-0.295	1.506	-0.1608	-0.6617	-0.344	3.288	1.065	2.952	0.2669	-0.05541
17900	-0.3971	-0.341	-0.6123	-1.202	-0.3383	1.003	0.9608	1.911	0.214	-0.1299
18100	-0.4658	-0.03458	-0.2525	-1.053	-0.2806	0.1338	1.95	1.77	0.3334	-0.1465
18300	-0.6205	-0.3343	0.3809	-1.173	0.0868	0.05948	0.9083	1.703	0.1604	-0.04988
18500	-0.5373	0.3028	-0.1273	-1.301	-0.724	0.1664	0.6399	1.148	0.1915	0.04382
18700	-0.6334	0.07723	0.1587	-1.39	0.1502	-0.2165	0.7304	1.281	0.01907	-0.03537
18900	-0.6791	-0.397	-0.2099	-1.458	-0.7185	-0.6032	0.5576	0.5121	0.1578	-0.3666
19100	-0.2039	0.278	0.08862	-1.349	-0.06392	0.1634	2.836	2.659	0.716	0.4172
19300	-0.7088	-0.4504	-0.01773	-0.9881	0.3316	1.126	1.277	2.001	0.3952	0.07147
19500	-0.8095	-0.003198	-0.1956	-0.8812	0.3673	1.235	0.2282	1.793	0.2554	-0.1019
19700	-0.954	-0.7353	-0.4849	-1.108	-0.3723	0.2559	-0.01463	1.082	-0.07486	-0.3374
19900	-0.8542	-0.8901	-0.8729	-0.7291	-0.7656	-0.5523	-0.2948	-0.2572	-0.4903	-0.4189
20100	-0.925	-0.554	-0.3811	-1.379	-0.6576	0.22	0.3299	0.6388	0.3521	-0.1824
20300	-0.2132	0.318	-0.09931	-1.56	-0.06659	0.08207	1.854	1.128	0.3377	-0.04114
20500	-0.332	0.2137	-0.338	-0.9235	-0.1341	0.6532	1.454	1.49	0.7582	0.00102
20700	-0.6634	-0.1244	-0.3723	-0.5382	-0.4176	1.061	0.4316	1.384	0.2674	0.02042
20900	-0.3864	0.8992	-0.2855	-1.026	-0.3975	1.599	0.9389	2.074	0.6524	0.08606
21100	-0.4836	0.2644	-0.3333	-0.64	-0.3767	1.826	0.5759	2.633	0.2233	0.1765
21300	-1.062	-0.4545	-0.151	-0.9967	-0.5002	1.945	-0.4153	0.6845	-0.2356	-0.514
21500	-0.1876	-0.05072	0.3342	-0.498	0.3794	4.212	-0.07937	3.097	0.2377	-0.06222
21700	0.668	1.689	-0.1172	-0.226	0.08967	6.192	0.3181	4.65	0.9362	0.864
21900	0.7727	0.5815	-0.3335	-0.6696	0.2089	4.578	0.07859	3.966	0.7635	0.4822
22100	-0.6773	-0.07092	-0.2024	-0.9899	-0.2868	3.622	-0.3278	1.76	0.1938	-0.383
22300	0.2404	0.7775	0.3525	-0.6714	0.06133	3.321	-0.1048	2.024	0.7101	-0.2633
22500	0.09994	1.411	0.564	-0.5069	0.1078	3.66	-0.2949	0.9219	0.2056	-0.05981
22700	-0.1332	1.199	0.6379	-0.7232	-0.01586	5.132	-0.3042	1.945	0.2737	0.06763
22900	0.1204	1.265	-0.5657	-0.5587	-0.02101	2.268	1.997	3.314	1.101	0.8306
23100	0.3908	1.094	-0.4179	-0.9402	0.7958	2.197	3.412	3.857	1.197	1.184
23300	0.395	-0.3244	-0.5134	-1.345	0.7268	1.442	2.569	2.671	1.014	1.116
23500	0.4911	-0.269	-0.4764	-1.393	0.914	0.9788	3.533	1.651	0.5689	1.036
23700	0.5707	0.5321	0.02122	-1.199	0.5992	1.47	2.21	2.093	1.165	0.966
23900	-0.5293	-0.4349	0.2341	-1.047	-0.02953	0.8962	0.08507	0.1496	0.1958	-0.07504
24100	-0.4694	0.4039	0.4539	-0.9881	-0.02983	0.6154	0.3301	0.58	0.8683	0.2169
24300	1.553	0.371	1.735	-0.7528	-0.613	2.48	1.161	1.574	0.913	0.8404
24500	1.324	0.9342	0.4063	-0.5211	-0.08978	0.5598	1.006	0.405	0.5361	0.4418
24700	0.8158	1.525	-0.04127	-1.019	-0.1305	0.4336	1.336	0.5437	1.021	0.5177
24900	-0.1553	1.421	0.3591	-1.294	-0.3008	0.09619	1.066	0.4183	1.153	0.4657
25100	-0.6378	1.422	0.1724	-1.333	-0.4449	-0.08803	1.618	0.8529	1.193	0.7747
25300	0.0754	2.14	0.4089	-1.122	0.1242	0.5276	3.222	2.194	2.071	1.766
25500	0.03765	1.71	-0.03531	-1.28	-0.125	0.8264	1.925	0.9459	1.758	1.3
25700	0.02736	1.451	0.3418	-0.5586	-0.5868	0.4838	1.336	1.534	1.465	1.241
25900	-0.2347	1.814	0.1182	-1.219	-0.007732	0.203	1.282	1.459	1.595	1.146
26100	0.2677	2.028	0.06187	-0.8759	0.1288	0.9468	2.783	1.933	1.691	1.288
26300	0.176	3.521	0.6997	-1.182	-0.2895	0.3382	2.534	1.836	1.378	1.457
26500	4.1	2.017	1.132	-1.316	0.1621	0.9682	2.198	2.394	1.191	1.487
26700	8.58	1.255	3.073	-0.8475	0.07214	3.036	0.4847	2.241	1.183	1.158
26900	1.77	-0.2154	0.5058	-1.136	-0.8904	0.4999	-0.4891	-0.2564	-0.2346	-0.6673
27100	-0.1887	-0.3239	-0.5546	-1.394	-0.4997	0.1974	-0.6521	-0.624	-0.1567	-0.9637
27300	0.1546	2.903	0.4543	-1.196	-0.5148	2.988	-0.3603	1.783	0.03526	-0.3876
27500	-1.129	0.9802	0.2394	-0.5743	-0.3646	2.505	-0.4808	1.505	-0.1938	-0.7125
27700	-0.8675	1.128	0.5407	-0.838	0.08531	2.483	-0.3414	2.276	0.3647	0.25
27900	-0.5857	1.727	0.349	-0.5002	-0.03359	2.86	-0.01796	2.918	1.094	0.7736
28100	-0.5455	1.615	-0.4526	-0.8296	-0.3294	1.522	0.3093	1.982	1.35	1.114
28300	0.5454	1.789	-0.1757	-1.028	-0.5171	1.4	1.54	2.048	1.267	1.517
28500	-0.8405	-0.3027	-0.4249	-1.385	-0.6853	-0.2899	0.2379	-0.7282	0.5237	0.1625
28700	-1.027	0.09896	-0.1476	-1.542	-0.3846	-0.6168	0.6867	-0.6959	0.4696	-0.2378
28900	-1.054	-0.5166	-0.4196	-1.532	-0.5448	-1.035	0.6591	0.1616	0.3236	0.06674
29100	-0.4715	0.6176	-0.01773	-1.137	-0.2115	-0.1316	2.004	0.557	1.392	1.174
29300	-0.2549	0.08333	-0.1739	-0.3612	0.06322	0.2459	3.428	1.314	2.022	1.673
29500	-0.3828	-0.3721	-0.3163	-0.969	-0.1685	0.2728	0.5064	-0.1932	0.9284	0.5735
29700	-0.2778	-0.1685	-0.4463	-0.8162	-0.956	0.05717	1.826	-0.3933	0.8215	0.7406
29900	-0.224	0.5734	-0.4147	-0.488	-0.3224	0.2649	1.789	0.2437	1.381	0.9709
30100	0.06836	1.154	-0.2166	-1.039	-0.2787	0.3897	2.664	0.2359	1.906	2.052
30300	0.2514	0.2378	-0.6303	-0.2671	0.1144	0.1597	3.223	0.7671	1.606	2.187
30500	-0.01865	0.3488	-0.3619	-1.007	-0.05787	0.4966	1.538	0.2139	1.862	1.503
30700	-0.326	0.3733	-0.4446	-1.313	-0.3189	1.194	0.6403	0.01596	1.409	1.062
30900	-0.1423	0.08435	-0.1473	-1.12	-0.3824	1.588	0.8084	-0.1037	1.693	1.37
31100	-0.5475	0.1211	0.1709	-0.9165	0.1149	1.819	0.4363	0.1944	1.766	1.705
31300	-0.7377	0.9546	-0.1381	-0.8359	0.7766	1.605	0.4184	-0.2619	1.804	1.497
31500	-0.5812	0.2569	0.1075	-0.9139	-0.1234	1.973	0.06778	-0.05682	1.666	1.806
31700	-0.1811	0.7659	0.02424	-1.087	-0.8165	2.503	-0.09105	0.2918	1.932	2.293
31900	0.259	0.4864	-0.4356	-1.013	-0.8738	0.8556	0.9053	-0.119	1.567	1.895
32100	0.5368	1.607	-0.2336	-0.8227	-0.3145	0.6621	0.4516	0.8198	1.981	2.579
32300	-0.222	0.8738	0.1664	-1.134	0.2676	1.107	0.04699	0.496	2.277	2.04
32500	-0.3953	1.216	0.5273	-1.208	-0.02468	2.229	-0.04335	0.3745	2.117	1.666
32700	-0.4107	1.238	0.4162	-1.429	-0.6026	1.5	-0.4569	0.06179	1.538	0.9806
32900	-0.188	2.155	0.9588	-0.8129	-0.7417	1.555	-0.3759	1.205	2.266	1.808
33100	-0.3735	1.457	1.927	-0.8573	-0.4534	2.418	-0.5121	0.9308	2.531	1.929
33300	0.247	1.657	1.222	-0.8276	-0.4038	1.386	-0.3746	1.162	2.256	2.198
33500	-0.2316	0.9908	0.3386	-1.469	-1.056	-0.03035	-0.481	-0.1069	1.289	0.6989
33700	0.1335	1.964	1.318	-1.291	-0.2635	0.3211	-0.5672	0.1375	1.898	1.442
33900	0.2189	2.285	0.7189	-1.018	-0.6913	0.3808	-0.4212	0.5183	1.809	1.44
34100	0.2448	3.246	2.743	-0.7013	-0.2538	1.014	-0.4448	0.8315	2.783	2.381
34300	1.346	2.907	1.865	-1.01	-0.1182	1.469	-0.4148	0.4423	2.963	2.976
34500	-0.146	1.083	1.843	-0.9659	-0.08552	0.3482	-0.5975	0.1396	1.863	1.429
34700	0.1021	1.463	1.074	-0.8688	-0.2532	1.052	-0.5669	0.1055	2.584	1.455
34900	0.7079	2.88	1.712	-0.5729	-0.8906	0.6263	-0.4828	0.3645	3.217	2.76
35100	0.6819	2.82	1.597	-0.7966	0.3933	0.7986	-0.4765	-0.43	3.102	2.668
35300	0.05551	1.172	1.744	-0.6307	-0.3179	0.3637	-0.5782	-0.3636	2.87	2.478
35500	0.5667	1.815	0.1444	-0.8904	-0.2195	0.4352	-0.5198	-0.5926	2.295	1.789
35700	-0.247	1.372	0.7016	-1.404	-0.6591	0.2056	-0.4896	-0.2755	2.041	1.24
35900	-0.3228	2.294	0.2934	-1.203	-0.02874	0.8653	-0.4274	0.06053	2.364	1.557
36100	0.3057	2.271	0.4556	-0.4307	-0.6225	1.425	-0.5702	0.4661	2.683	2.161
36300	0.2655	2.759	0.5404	-0.9289	-0.3159	1.842	-0.6306	0.7589	2.838	2.416
36500	-0.1344	1.621	0.4445	-0.8944	-0.02012	0.9722	-0.5354	-0.4365	2.739	2.453
36700	0.06748	2.61	0.4291	-0.6459	0.2264	1.957	-0.5216	1.117	3.149	3.367
36900	0.1276	2.771	0.05213	-0.8453	0.1469	0.8163	-0.328	0.09781	2.443	2.453
37100	0.04047	0.5615	-0.3315	-0.8322	-0.2655	0.544	-0.543	-0.1675	1.939	1.954
37300	-0.317	0.8307	0.04003	-0.7483	-0.04945	1.31	-0.5383	-0.1929	1.976	1.629
37500	-0.5075	1.08	0.2408	-1.193	-0.5742	0.7082	-0.5954	-0.3255	2.027	1.635
37700	-0.03282	0.982	0.1833	-0.8175	-0.4792	1.097	-0.5868	0.4166	2.547	1.971
37900	-0.2965	1.604	-0.1183	-0.5834	-0.1903	0.9935	-0.3914	-0.2502	2.988	2.661
38100	-0.1255	0.9024	-0.2745	-0.8863	0.3365	0.4398	-0.3319	-0.4969	2.053	2.783
38300	-0.141	1.037	-0.6973	-0.6226	-0.04251	0.8134	-0.3641	0.3826	2.447	3.681
38500	0.8905	2.005	-0.4819	-0.3594	0.4051	1.397	0.1835	1.399	2.703	4.532
38700	0.5287	2.125	-0.4874	-0.8008	0.4078	1.014	-0.4821	-0.3882	3.482	4.11
38900	0.7194	3.595	0.1275	-0.5429	0.01843	1.508	-0.4711	-0.08515	3.218	3.157
39100	0.8101	2.806	0.5258	-0.7808	-0.269	1.171	-0.5154	-0.04335	3.406	3.512
39300	-0.4922	0.9539	0.1671	-1.21	-0.5109	-0.3311	-0.6636	-0.7627	2.45	1.967
39500	0.1299	0.7439	1.732	-1.221	-0.4006	-0.6152	-0.6699	-0.7642	2.519	1.831
39700	-0.09669	0.2051	1.774	-0.9001	-0.1552	-0.7019	-0.6064	-0.7203	2.385	1.561
39900	0.1688	0.04089	-0.0597	-0.9513	-0.5143	-0.4619	-0.6216	-0.4892	1.452	0.5553
40100	0.9931	2.261	3.98	-1.082	-0.3874	-0.4915	-0.537	0.2013	3.16	2.389
40300	1.48	4.712	3.977	-0.4573	-0.321	1.249	-0.4442	1.025	4.066	3.204
40500	0.3691	2.933	1.335	-1.017	-0.5439	0.9374	-0.579	-0.1871	2.566	2.055
40700	-0.07531	1.868	1.356	-1.009	-0.8786	0.3717	-0.4692	0.4277	2.182	1.636
40900	0.3009	2.239	0.7258	-1.069	0.186	0.2482	-0.4673	-0.07647	2.112	1.321
41100	0.2961	3.139	2.204	-1.316	0.394	0.4148	-0.4581	0.9293	1.661	1.473
41300	0.2108	2.908	2.284	-1.084	-0.4538	0.7878	-0.62	1.019	2.078	1.63
41500	0.2309	3.103	1.042	-0.2573	0.04825	0.6929	-0.4644	1.887	1.976	1.624
41700	0.3825	2.821	2.089	-0.7213	-0.07155	0.7071	-0.4455	2.024	1.777	1.072
41900	0.2634	2.962	2.749	-0.8051	-0.1256	0.5613	-0.4235	2.162	1.357	1.06
42100	0.08991	2.475	0.7018	-0.6392	0.09939	0.26	-0.4098	1.772	1.436	0.6373
42300	-0.2512	1.946	0.4242	-0.7479	-0.4086	-0.46	-0.7012	1.538	0.9276	0.4253
42500	0.002815	1.979	1.637	-0.9355	-0.1686	-0.4868	-0.6593	2.633	0.3379	0.01913
42700	0.4354	1.057	1.037	-1.374	0.3796	-0.0724	-0.2488	1.585	0.07811	-0.1487
42900	0.02111	1.787	0.8593	-0.561	0.2804	0.24	-0.5039	2.871	0.4627	0.3038
43100	-0.003519	2.844	0.07709	-0.3155	-0.5726	0.5096	-0.4371	3.171	0.6673	0.6276
43300	0.6664	2.735	0.2762	-0.5496	-0.4153	0.5365	-0.4495	3.321	0.8942	0.4649
43500	-0.01021	2.083	-0.3186	-1.221	0.2923	0.4408	-0.497	2.644	0.376	0.06899
43700	-0.47	1.261	-0.1817	-0.9951	-0.4025	0.05243	-0.6207	2.3	-0.02904	-0.08899
43900	-0.1098	0.4527	-0.5712	-0.3699	0.185	-0.2178	-0.5552	1.745	-0.2492	-0.2616
44100	-0.3595	0.2207	-0.5217	-0.03323	-0.2102	0.2096	-0.4766	0.9369	-0.0311	-0.3039
44300	-0.04909	-0.1469	-0.553	-0.423	0.6005	0.429	-0.3479	2.127	0.1769	0.3068
44500	0.1606	0.1714	-0.477	0.2241	1.019	0.1951	-0.1445	2.911	0.3242	0.8641
44700	0.009678	0.09324	-0.473	0.01336	0.933	0.2674	-0.3633	1.46	0.09185	0.05705
44900	-0.1772	0.6226	-0.5595	-0.0007318	-0.01269	-0.2756	-0.1754	1.312	0.171	-0.09372
45100	0.7258	1.572	-0.7522	0.379	1.031	0.5039	0.008258	2.845	0.7856	0.7393
45300	0.4773	0.7548	-0.1996	0.144	1.061	0.5598	-0.1374	1.368	0.9171	0.9455
45500	0.07135	0.3917	-0.375	-0.7324	-0.02101	0.7875	-0.1703	1.525	0.8987	0.6
45700	-0.07302	0.09997	-0.4511	-0.6325	-0.2796	0.6368	-0.2189	1.538	0.83	1.082
45900	-0.1937	0.1915	-0.2727	-0.3707	-0.1469	0.9484	-0.515	1.639	0.8034	0.9426
46100	-0.1356	0.4246	-0.2569	-0.3547	-0.4449	1.346	-0.4483	2.174	0.7782	1.016
46300	-0.4737	1.197	-0.3932	-0.7857	-0.02557	1.463	-0.2529	1.525	1.064	0.6849
46500	0.01372	1.973	-0.006951	-0.9452	-0.02319	1.399	-0.3586	0.6347	0.8411	0.579
46700	0.3439	2.333	-0.2721	-0.6583	0.1817	2.026	-0.4552	2.391	1.105	0.9758
46900	1.593	1.686	0.8192	-0.9209	-0.5207	2.191	-0.282	2.378	1.221	0.5528
47100	3.226	0.4772	0.6685	-1.12	-0.1634	2.07	-0.4255	1.146	0.5838	0.07283
47300	5.484	-0.07943	2.13	-1.265	-0.5638	2.915	-0.4267	0.3252	0.7023	0.8125
47500	7.19	2.457	1.165	-0.8516	-0.6794	2.181	1.113	1.51	2.247	2.336
47700	2.217	2.34	0.8962	-1.183	-0.2238	0.773	2.315	1.519	2.341	2.477
47900	-0.1066	3.245	0.3038	-1.175	-0.04023	0.04194	1.895	0.1376	2.005	2.017
48100	-0.3925	2.739	0.06168	-0.7611	0.2282	0.3248	1.031	0.05361	1.36	1.771
48300	-0.07575	2.623	0.06858	-0.7405	-0.2525	0.4918	2.222	0.5675	1.992	2.277
48500	-0.174	2.038	-0.06764	-0.8573	-0.3933	-0.2056	2.075	0.5256	2.023	2.255
48700	-0.6814	1.751	-0.3103	-1.141	-0.6549	0.004835	0.5082	-0.6824	0.9092	0.6086
48900	-0.7999	1.48	-0.126	-1.268	-0.4703	0.1636	0.7344	-0.1487	0.8698	0.5686
49100	-0.7929	0.8927	-0.1829	-1.401	-0.1462	-0.1375	0.3662	0.1736	0.6481	0.5791
49300	0.03598	-0.1794	-0.4384	-0.8784	-0.541	-0.4591	2.657	0.6949	0.4287	0.573
49500	0.01355	0.2045	-0.1933	-0.7207	-0.2683	1.223	1.015	2.051	0.4684	0.3206
49700	-0.7703	-0.05529	-0.3711	-1.14	-0.3996	0.5092	0.4601	1.23	-0.07226	-0.2499
49900	-0.2328	0.2864	0.05166	-1.323	-0.1904	1.584	0.7761	1.702	-0.272	-0.3783
50100	-0.3153	-0.2789	-0.03153	-0.7969	-0.003768	1.512	0.6376	2.522	-0.155	-0.3765
50300	-0.7045	0.3108	-0.2453	-0.9296	-0.2326	1.793	0.05846	1.956	-0.1664	-0.4796
50500	-0.6334	0.1014	-0.09713	-1.131	-0.5121	2.119	-0.1034	1.405	-0.2525	-0.4618
50700	-0.5184	-0.392	0.1761	-0.9554	0.1521	1.734	0.3692	2.561	0.00067	-0.4323
50900	0.01795	-0.1459	-0.01262	-0.9254	0.6634	1.175	1.418	2.603	-0.2612	-0.2879
51100	-0.09396	0.3336	-0.02954	-1.019	-0.2722	0.7457	0.8227	2.105	-0.1592	-0.09067
51300	-0.5977	-0.2708	-0.349	-1.294	-0.1188	0.7802	0.3343	1.601	-0.1496	-0.6966
51500	0.149	1.326	0.1759	-1.25	1.42	3.003	1.419	3.753	0.8267	0.1908
